,ABBV,AXP,BAC,BLK,COF,CVX,GS,HAL,JNJ,JPM,MA,MRK,MS,PFE,SLB,TROW,USB,V,WFC,XOM
2022-09-15,124.354736328125,149.03843688964844,31.534921646118164,580.96533203125,96.208251953125,137.88929748535156,303.9503479003906,27.24038314819336,148.93067932128906,107.4634017944336,309.9359436035156,78.07088470458984,78.13005065917969,37.04948806762695,36.42007064819336,94.96041107177734,38.47318649291992,189.7921905517578,40.12263870239258,83.72198486328125
2022-09-16,125.7072525024414,146.12701416015625,31.178544998168945,575.8201293945312,95.18783569335938,134.30946350097656,298.99169921875,26.119264602661133,151.20411682128906,106.74315643310547,308.1465148925781,78.94384765625,77.39530944824219,37.12208938598633,35.26212692260742,93.30825805664062,38.47318649291992,187.78126525878906,39.940834045410156,82.29173278808594
2022-09-19,124.48565673828125,148.30343627929688,31.699405670166016,583.1610717773438,95.93675994873047,134.6957244873047,301.2372131347656,26.286048889160156,150.0132598876953,107.7278060913086,307.07086181640625,77.97188568115234,78.53724670410156,36.6462516784668,35.81352233886719,96.51937103271484,38.708045959472656,187.61618041992188,40.286251068115234,82.28289794921875
2022-09-20,123.70902252197266,146.5088348388672,31.224231719970703,571.7501831054688,94.89763641357422,134.1634521484375,296.287841796875,25.591136932373047,148.8314208984375,105.60353088378906,306.32769775390625,77.39592742919922,77.182861328125,36.105918884277344,35.381591796875,94.71471405029297,37.7350959777832,186.58645629882812,39.459075927734375,81.61193084716797
2022-09-21,122.43500518798828,141.95545959472656,30.29216766357422,558.685546875,93.1376724243164,133.07322692871094,293.95062255859375,25.090801239013672,147.30677795410156,102.55839538574219,297.7520446777344,76.072998046875,76.4481201171875,35.420413970947266,34.5361213684082,93.240478515625,36.84602355957031,181.6805877685547,38.42283630371094,80.29646301269531
2022-09-22,124.79103088378906,136.53347778320312,29.698198318481445,551.7120971679688,89.37433624267578,132.9701690673828,286.810546875,24.942554473876953,149.92303466796875,101.39141082763672,291.7480773925781,78.75486755371094,75.04060363769531,35.94462203979492,35.13347244262695,91.25789642333984,36.091148376464844,180.48568725585938,37.741092681884766,79.96097564697266
2022-09-23,124.83467864990234,133.8892822265625,28.994585037231445,543.3422241210938,87.79224395751953,124.28235626220703,276.7742004394531,22.774442672729492,150.41018676757812,99.50415802001953,287.0741271972656,78.09788513183594,72.15478515625,35.5494499206543,32.16508483886719,90.93595123291016,35.3278923034668,178.70794677734375,36.732120513916016,75.70557403564453
2022-09-26,123.2203598022461,131.2069091796875,28.354928970336914,537.149658203125,85.4706039428711,121.0115737915039,270.0375061035156,21.597732543945312,149.48997497558594,97.36164093017578,283.68096923828125,77.55791473388672,70.60562896728516,35.34783172607422,31.117429733276367,91.06302642822266,34.43882751464844,175.4341583251953,36.36852264404297,74.14289855957031
2022-09-27,123.66537475585938,131.24514770507812,27.93458366394043,531.5912475585938,85.55484771728516,121.06306457519531,267.06787109375,22.014677047729492,148.80435180664062,96.50464630126953,280.1313781738281,77.25193786621094,70.3577651977539,35.557518005371094,31.227703094482422,90.45301055908203,34.354949951171875,172.79180908203125,36.38669204711914,75.69672393798828
2022-09-28,126.17848205566406,134.1756591796875,28.3914794921875,537.8663940429688,88.97179412841797,125.14942932128906,275.69268798828125,22.92268943786621,150.08541870117188,98.45568084716797,283.7493896484375,78.09788513183594,72.11936950683594,35.83171463012695,32.5694465637207,92.88462829589844,34.74076843261719,174.0644073486328,37.095703125,78.4512710571289
2022-09-29,124.5379867553711,131.531494140625,28.016826629638672,518.10400390625,87.69863891601562,124.28235626220703,271.4031066894531,22.830036163330078,148.4344482421875,96.78728485107422,280.41497802734375,77.97188568115234,70.69414520263672,35.61396026611328,33.056514739990234,90.98677062988281,34.56257629394531,174.91928100585938,36.81391906738281,78.29237365722656
2022-09-30,117.11213684082031,128.7823028564453,27.59648323059082,505.5721740722656,86.28504180908203,123.33805847167969,268.5984802246094,22.811506271362305,147.37892150878906,95.2738265991211,278.038818359375,77.50393676757812,69.94171142578125,35.29137420654297,32.9921875,88.97030639648438,34.21466064453125,172.57810974121094,36.55940628051758,77.08282470703125
2022-10-03,120.69855499267578,133.66018676757812,28.409753799438477,526.18896484375,89.46797180175781,130.2574005126953,274.1895446777344,24.442216873168945,147.2345733642578,98.21866607666016,284.0428161621094,78.79085540771484,71.15445709228516,35.59783172607422,35.197784423828125,92.1136245727539,35.27538299560547,176.4639129638672,37.79563903808594,81.15284729003906
2022-10-04,123.90101623535156,138.8531036376953,29.588550567626953,543.2595825195312,93.49341583251953,135.32249450683594,288.597900390625,26.05440902709961,149.41781616210938,102.81367492675781,294.5936584472656,79.54680633544922,74.3324203491211,35.85591125488281,35.951377868652344,95.96016693115234,36.17487335205078,180.34971618652344,39.57724380493164,84.11044311523438
2022-10-05,125.07028198242188,137.81260681152344,29.16819953918457,535.7717895507812,92.622802734375,136.0950927734375,283.2176818847656,27.092132568359375,148.9577178955078,101.54426574707031,297.4587097167969,79.54680633544922,73.57113647460938,35.58171463012695,38.20293045043945,94.50289916992188,35.80998229980469,182.31204223632812,39.3681755065918,87.50945281982422
2022-10-06,122.41756439208984,135.9129638671875,28.74785804748535,525.1692504882812,90.55389404296875,138.57608032226562,279.24896240234375,27.62026596069336,146.07077026367188,99.47456359863281,293.0709533691406,78.69185638427734,71.97772216796875,34.75104522705078,39.04841232299805,93.97759246826172,34.859580993652344,180.2914276123047,38.39555740356445,90.10506439208984
2022-10-07,121.08245849609375,132.68653869628906,28.09906768798828,505.6824645996094,87.87649536132812,137.3828125,275.9585266113281,28.176193237304688,144.52804565429688,97.48763275146484,288.89862060546875,78.8358383178711,69.87088012695312,34.13005828857422,39.14031982421875,89.97855377197266,34.11282730102539,178.58164978027344,37.98651885986328,89.19573974609375
2022-10-10,120.6898193359375,131.26419067382812,28.016826629638672,501.21728515625,87.1088638305664,134.90176391601562,275.4635925292969,27.379365921020508,144.71749877929688,96.57695770263672,285.7742614746094,81.42772674560547,69.41056823730469,33.67036437988281,38.71757507324219,89.71589660644531,33.79885482788086,176.97874450683594,37.67746353149414,87.26226043701172
2022-10-11,123.48211669921875,131.11146545410156,27.20355224609375,487.98724365234375,87.77352905273438,134.92755126953125,269.6617126464844,27.38863182067871,146.810546875,93.78975677490234,280.1622009277344,81.9406967163086,68.1623764038086,33.807464599609375,38.377540588378906,87.58927917480469,32.91633987426758,174.02557373046875,36.5684928894043,86.52066040039062
2022-10-12,122.14704132080078,130.52919006347656,27.285795211791992,487.95050048828125,87.52075958251953,135.33103942871094,270.66998291015625,27.611000061035156,146.77444458007812,95.30755615234375,277.54718017578125,81.37371063232422,67.80828857421875,33.89617156982422,38.61648178100586,83.09034729003906,33.18787384033203,173.15127563476562,36.8230094909668,86.90028381347656
2022-10-13,125.98150634765625,135.63650512695312,28.958030700683594,520.0426635742188,91.57429504394531,141.8898162841797,281.4487609863281,28.824769973754883,148.9937744140625,100.60601806640625,287.909423828125,83.23663330078125,70.21611022949219,34.662330627441406,40.610713958740234,86.38616943359375,35.10566329956055,179.38796997070312,38.52281951904297,89.93734741210938
2022-10-14,125.99915313720703,131.0945587158203,28.9671688079834,506.1878356933594,89.29944610595703,137.4772491455078,274.95947265625,27.249649047851562,148.37130737304688,102.28015899658203,282.74786376953125,82.9576416015625,66.65753173828125,34.565547943115234,38.745140075683594,83.293701171875,36.28519058227539,177.40621948242188,39.240909576416016,87.57125854492188
2022-10-17,127.29489135742188,135.626953125,30.721647262573242,523.0009765625,91.24665069580078,138.48162841796875,281.1187438964844,27.787044525146484,150.29293823242188,106.57595825195312,288.9671630859375,84.70355224609375,68.2863540649414,35.20266342163086,39.38844299316406,87.09788513183594,36.1833610534668,179.9611358642578,39.959014892578125,88.83377075195312
2022-10-18,127.46238708496094,139.8910369873047,31.873023986816406,533.8516235351562,93.23126983642578,139.69210815429688,287.6629943847656,28.22252082824707,149.7696533203125,109.31715393066406,294.1972351074219,85.14451599121094,70.32234191894531,35.557518005371094,39.84794616699219,88.21625518798828,36.31913757324219,181.82630920410156,40.60439682006836,88.99266815185547
2022-10-19,126.16663360595703,137.95541381835938,30.995784759521484,530.9482421875,89.14966583251953,144.22491455078125,285.74737548828125,29.61233139038086,148.57879638671875,107.17385864257812,291.6311950683594,83.9295883178711,68.72895050048828,34.76716613769531,41.78703689575195,85.69989013671875,35.0123176574707,181.08802795410156,39.64994812011719,91.6324234008789
2022-10-20,125.99032592773438,136.47018432617188,30.794748306274414,525.8583374023438,88.91563415527344,145.0490264892578,284.8765869140625,29.33437156677246,148.9577178955078,106.82430267333984,290.1816711425781,83.64161682128906,67.80828857421875,34.60587692260742,41.98922348022461,84.48834228515625,33.951602935791016,181.8748779296875,39.6772346496582,91.75601196289062
2022-10-21,129.63084411621094,134.18959045410156,31.93698501586914,548.7353515625,90.10454559326172,148.68040466308594,297.9743347167969,31.391300201416016,152.20555114746094,112.43550872802734,296.14630126953125,86.09848022460938,70.12759399414062,36.2510871887207,46.326904296875,86.86064147949219,34.37588882446289,184.93495178222656,40.74983596801758,93.45995330810547
2022-10-24,133.0069580078125,135.71311950683594,32.04663848876953,561.7632446289062,91.33090209960938,148.62890625,301.2740478515625,32.039878845214844,154.2534637451172,112.573486328125,299.3098449707031,87.62838745117188,70.31348419189453,36.72691345214844,47.92597198486328,88.45348358154297,34.902008056640625,185.2652130126953,41.086158752441406,94.11328125
2022-10-25,132.06375122070312,140.87799072265625,32.33905792236328,584.2728881835938,95.09423828125,150.1741943359375,304.6651916503906,32.41050338745117,154.00990295410156,112.86785125732422,305.000244140625,87.93437957763672,71.26954650878906,36.767234802246094,48.220062255859375,92.08820343017578,35.64875793457031,188.83045959472656,41.240684509277344,93.47763061523438
2022-10-26,134.43492126464844,140.7438507080078,32.62232971191406,585.9815673828125,95.41251373291016,152.0285186767578,307.6807556152344,33.80031204223633,155.3631591796875,114.16484832763672,312.93353271484375,88.56434631347656,71.62362670898438,37.14627456665039,47.953548431396484,92.41017150878906,35.97121810913086,197.52496337890625,41.5406494140625,94.59001159667969
